class,year,longitude,latitude,kategori,B2,B3,B4,B8,B11,B12,NDVI,NDWI,NDBI,BSI,NDTI
1,2024,122.14622359268664,-2.7949229455263143,air_keruh,0.1047,0.1187,0.1211,0.1774,0.19635,0.1561,0.18860969,-0.19824383,0.050702345,0.058960892,0.010008355
1,2024,122.15206007950304,-2.804524508242579,air_keruh,0.1034,0.1106,0.0928,0.2279,0.1508,0.0805,0.421266,-0.3465288,-0.20359121,-0.15254825,-0.08751231
1,2024,122.14622359268664,-2.811382719083616,air_keruh,0.1252,0.1254,0.1274,0.172,0.2314,0.2086,0.14896463,-0.15669131,0.14724837,0.09390242,0.00791135
1,2024,122.1548066615343,-2.812754356417438,air_keruh,0.1462,0.1353,0.1429,0.2163,0.2534,0.211,0.20434296,-0.23037544,0.07898659,0.044544026,0.02731851
1,2024,122.17746596329212,-2.821327053171478,air_keruh,0.1388,0.1676,0.1848,0.2526,0.268,0.1716,0.15500689,-0.20228463,0.029581238,0.07273158,0.048808154
1,2024,122.1657929896593,-2.824756114184793,air_keruh,0.1058,0.1372,0.17,0.2104,0.2451,0.2315,0.10620399,-0.21058689,0.07618003,0.13523862,0.10677084
1,2024,122.18364577286242,-2.8268135459331107,air_keruh,0.1228,0.1388,0.167,0.2016,0.2315,0.1894,0.0938687,-0.18448885,0.06903717,0.1025038,0.09221714
1,2024,122.17609267227648,-2.8254419251727385,air_keruh,0.4032,0.4742,0.5356,0.5034,0.5483,0.5913,-0.030991316,-0.029869083,0.04269278,0.0890731,0.060804114
1,2024,122.17094283096787,-2.8319571093380858,air_keruh,0.0808,0.0868,0.1064,0.1064,0.1105,0.115,0.0,-0.10144926,0.01890273,0.07349667,0.10144926
1,2024,122.18536238663197,-2.8316142058212477,air_keruh,0.0832,0.1149,0.1017,0.2881,0.26655,0.20755,0.47819394,-0.42977667,-0.03885333,-0.0041241287,-0.060941827
1,2024,122.1881089686632,-2.8374435517928336,air_keruh,0.1071,0.1191,0.144,0.1846,0.27755,0.27875,0.12355448,-0.21567336,0.2011252,0.18205398,0.094640814
